Parameter,Value,Layer,Key ID,Value Type,Action
CFG-MSGOUT-NMEA_ID_RLM_USB,0,RAM,0x20910403,U1,Set
CFG-MSGOUT-NMEA_ID_RMC_I2C,0,RAM,0x209100ab,U1,Set
CFG-MSGOUT-NMEA_ID_RMC_I2C,0,Flash,0x209100ab,U1,Set
CFG-MSGOUT-NMEA_ID_RMC_SPI,0,RAM,0x209100af,U1,Set
CFG-MSGOUT-NMEA_ID_RMC_SPI,0,Flash,0x209100af,U1,Set
CFG-MSGOUT-NMEA_ID_RMC_UART1,0,RAM,0x209100ac,U1,Set
CFG-MSGOUT-NMEA_ID_RMC_UART1,0,Flash,0x209100ac,U1,Set
CFG-MSGOUT-NMEA_ID_RMC_UART2,0,RAM,0x209100ad,U1,Set
CFG-MSGOUT-NMEA_ID_RMC_UART2,0,Flash,0x209100ad,U1,Set
CFG-MSGOUT-NMEA_ID_RMC_USB,0,RAM,0x209100ae,U1,Set
CFG-MSGOUT-NMEA_ID_RMC_USB,0,Flash,0x209100ae,U1,Set
CFG-MSGOUT-NMEA_ID_VLW_I2C,0,RAM,0x209100e7,U1,Set
CFG-MSGOUT-NMEA_ID_VLW_SPI,0,RAM,0x209100eb,U1,Set
CFG-MSGOUT-NMEA_ID_VLW_UART1,0,RAM,0x209100e8,U1,Set
CFG-MSGOUT-NMEA_ID_VLW_UART2,0,RAM,0x209100e9,U1,Set
CFG-MSGOUT-NMEA_ID_VLW_USB,0,RAM,0x209100ea,U1,Set
CFG-MSGOUT-NMEA_ID_VTG_I2C,0,RAM,0x209100b0,U1,Set
CFG-MSGOUT-NMEA_ID_VTG_I2C,0,Flash,0x209100b0,U1,Set
CFG-MSGOUT-NMEA_ID_VTG_SPI,0,RAM,0x209100b4,U1,Set
CFG-MSGOUT-NMEA_ID_VTG_SPI,0,Flash,0x209100b4,U1,Set
CFG-MSGOUT-NMEA_ID_VTG_UART1,0,RAM,0x209100b1,U1,Set
CFG-MSGOUT-NMEA_ID_VTG_UART1,0,Flash,0x209100b1,U1,Set
CFG-MSGOUT-NMEA_ID_VTG_UART2,0,RAM,0x209100b2,U1,Set
CFG-MSGOUT-NMEA_ID_VTG_UART2,0,Flash,0x209100b2,U1,Set
CFG-MSGOUT-NMEA_ID_VTG_USB,0,RAM,0x209100b3,U1,Set
CFG-MSGOUT-NMEA_ID_VTG_USB,0,Flash,0x209100b3,U1,Set
CFG-MSGOUT-NMEA_ID_ZDA_I2C,0,RAM,0x209100d8,U1,Set
CFG-MSGOUT-NMEA_ID_ZDA_SPI,0,RAM,0x209100dc,U1,Set
CFG-MSGOUT-NMEA_ID_ZDA_UART1,0,RAM,0x209100d9,U1,Set
CFG-MSGOUT-NMEA_ID_ZDA_UART2,0,RAM,0x209100da,U1,Set
CFG-MSGOUT-NMEA_ID_ZDA_USB,0,RAM,0x209100db,U1,Set
UNKNOWN_0x20910661,0,RAM,0x20910661,U1,Set
UNKNOWN_0x20910665,0,RAM,0x20910665,U1,Set
UNKNOWN_0x20910662,0,RAM,0x20910662,U1,Set
UNKNOWN_0x20910663,0,RAM,0x20910663,U1,Set
UNKNOWN_0x20910664,0,RAM,0x20910664,U1,Set
UNKNOWN_0x20910670,0,RAM,0x20910670,U1,Set
UNKNOWN_0x20910674,0,RAM,0x20910674,U1,Set
UNKNOWN_0x20910671,0,RAM,0x20910671,U1,Set
UNKNOWN_0x20910672,0,RAM,0x20910672,U1,Set
UNKNOWN_0x20910673,0,RAM,0x20910673,U1,Set
UNKNOWN_0x2091065c,0,RAM,0x2091065c,U1,Set
UNKNOWN_0x20910660,0,RAM,0x20910660,U1,Set
UNKNOWN_0x2091065d,0,RAM,0x2091065d,U1,Set
UNKNOWN_0x2091065e,0,RAM,0x2091065e,U1,Set
UNKNOWN_0x2091065f,0,RAM,0x2091065f,U1,Set
UNKNOWN_0x20910666,0,RAM,0x20910666,U1,Set
UNKNOWN_0x2091066a,0,RAM,0x2091066a,U1,Set
UNKNOWN_0x20910667,0,RAM,0x20910667,U1,Set
UNKNOWN_0x20910668,0,RAM,0x20910668,U1,Set
UNKNOWN_0x20910669,0,RAM,0x20910669,U1,Set
UNKNOWN_0x20910652,0,RAM,0x20910652,U1,Set
UNKNOWN_0x20910656,0,RAM,0x20910656,U1,Set
UNKNOWN_0x20910653,0,RAM,0x20910653,U1,Set
UNKNOWN_0x20910654,0,RAM,0x20910654,U1,Set
UNKNOWN_0x20910655,0,RAM,0x20910655,U1,Set
UNKNOWN_0x20910657,0,RAM,0x20910657,U1,Set
UNKNOWN_0x2091065b,0,RAM,0x2091065b,U1,Set
UNKNOWN_0x20910658,0,RAM,0x20910658,U1,Set
UNKNOWN_0x20910659,0,RAM,0x20910659,U1,Set
UNKNOWN_0x2091065a,0,RAM,0x2091065a,U1,Set
UNKNOWN_0x2091067f,0,RAM,0x2091067f,U1,Set
UNKNOWN_0x20910683,0,RAM,0x20910683,U1,Set
UNKNOWN_0x20910680,0,RAM,0x20910680,U1,Set
UNKNOWN_0x20910681,0,RAM,0x20910681,U1,Set
UNKNOWN_0x20910682,0,RAM,0x20910682,U1,Set
CFG-MSGOUT-PUBX_ID_POLYP_I2C,0,RAM,0x209100ec,U1,Set
CFG-MSGOUT-PUBX_ID_POLYP_SPI,0,RAM,0x209100f0,U1,Set
CFG-MSGOUT-PUBX_ID_POLYP_UART1,0,RAM,0x209100ed,U1,Set
CFG-MSGOUT-PUBX_ID_POLYP_UART2,0,RAM,0x209100ee,U1,Set
CFG-MSGOUT-PUBX_ID_POLYP_USB,0,RAM,0x209100ef,U1,Set
CFG-MSGOUT-PUBX_ID_POLYS_I2C,0,RAM,0x209100f1,U1,Set
CFG-MSGOUT-PUBX_ID_POLYS_SPI,0,RAM,0x209100f5,U1,Set
CFG-MSGOUT-PUBX_ID_POLYS_UART1,0,RAM,0x209100f2,U1,Set
CFG-MSGOUT-PUBX_ID_POLYS_UART2,0,RAM,0x209100f3,U1,Set
CFG-MSGOUT-PUBX_ID_POLYS_USB,0,RAM,0x209100f4,U1,Set
CFG-MSGOUT-PUBX_ID_POLYT_I2C,0,RAM,0x209100f6,U1,Set
CFG-MSGOUT-PUBX_ID_POLYT_SPI,0,RAM,0x209100fa,U1,Set
CFG-MSGOUT-PUBX_ID_POLYT_UART1,0,RAM,0x209100f7,U1,Set
CFG-MSGOUT-PUBX_ID_POLYT_UART2,0,RAM,0x209100f8,U1,Set
CFG-MSGOUT-PUBX_ID_POLYT_USB,0,RAM,0x209100f9,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1005_I2C,0,RAM,0x209102bd,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1005_SPI,0,RAM,0x209102c1,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1005_UART1,0,RAM,0x209102be,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1005_UART2,0,RAM,0x209102bf,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1005_USB,0,RAM,0x209102c0,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1074_I2C,0,RAM,0x2091035e,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1074_SPI,0,RAM,0x20910362,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1074_UART1,0,RAM,0x2091035f,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1074_UART2,0,RAM,0x20910360,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1074_USB,0,RAM,0x20910361,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1077_I2C,0,RAM,0x209102cc,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1077_SPI,0,RAM,0x209102d0,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1077_UART1,0,RAM,0x209102cd,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1077_UART2,0,RAM,0x209102ce,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1077_USB,0,RAM,0x209102cf,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1084_I2C,0,RAM,0x20910363,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1084_SPI,0,RAM,0x20910367,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1084_UART1,0,RAM,0x20910364,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1084_UART2,0,RAM,0x20910365,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1084_USB,0,RAM,0x20910366,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1087_I2C,0,RAM,0x209102d1,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1087_SPI,0,RAM,0x209102d5,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1087_UART1,0,RAM,0x209102d2,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1087_UART2,0,RAM,0x209102d3,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1087_USB,0,RAM,0x209102d4,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1094_I2C,0,RAM,0x20910368,U1,Set
