iTOW,tAcc,galTow,fGalTow,galWno,leapS,galTowValid,galWnoValid,leapSValid
389759000,5,389759,-259697,1377,18,True,True,True
389769000,5,389769,-254914,1377,18,True,True,True
389779000,5,389779,-250129,1377,18,True,True,True
389789000,5,389789,-245344,1377,18,True,True,True
389799000,5,389799,-240560,1377,18,True,True,True
389809000,5,389809,-235777,1377,18,True,True,True
389819000,5,389819,-230993,1377,18,True,True,True
389829000,5,389829,-226208,1377,18,True,True,True
389839000,5,389839,-221423,1377,18,True,True,True
389849000,5,389849,-216639,1377,18,True,True,True
389859000,5,389859,-211857,1377,18,True,True,True
389869000,5,389869,-207077,1377,18,True,True,True
389879000,5,389879,-202297,1377,18,True,True,True
389889000,5,389889,-197518,1377,18,True,True,True
389899000,5,389899,-192738,1377,18,True,True,True
389909000,5,389909,-187957,1377,18,True,True,True
389919000,5,389919,-183178,1377,18,True,True,True
389929000,5,389929,-178397,1377,18,True,True,True
389939000,5,389939,-173615,1377,18,True,True,True
389949000,5,389949,-168835,1377,18,True,True,True
389959000,5,389959,-164054,1377,18,True,True,True
389969000,5,389969,-159272,1377,18,True,True,True
389979000,5,389979,-154491,1377,18,True,True,True
389989000,5,389989,-149709,1377,18,True,True,True
389999000,5,389999,-144928,1377,18,True,True,True
390009000,5,390009,-140147,1377,18,True,True,True
390019000,6,390019,-135367,1377,18,True,True,True
390029000,6,390029,-130588,1377,18,True,True,True
390039000,6,390039,-125808,1377,18,True,True,True
390049000,6,390049,-121029,1377,18,True,True,True
390059000,7,390059,-116249,1377,18,True,True,True
390069000,7,390069,-111470,1377,18,True,True,True
390079000,7,390079,-106691,1377,18,True,True,True
390089000,7,390089,-101911,1377,18,True,True,True
390099000,8,390099,-97132,1377,18,True,True,True
390109000,8,390109,-92352,1377,18,True,True,True
390119000,8,390119,-87572,1377,18,True,True,True
390129000,8,390129,-82791,1377,18,True,True,True
390139000,8,390139,-78011,1377,18,True,True,True
390149000,8,390149,-73231,1377,18,True,True,True
390159000,9,390159,-68452,1377,18,True,True,True
390169000,8,390169,-63672,1377,18,True,True,True
390179000,8,390179,-58893,1377,18,True,True,True
390189000,8,390189,-54113,1377,18,True,True,True
390199000,8,390199,-49334,1377,18,True,True,True
390209000,8,390209,-44554,1377,18,True,True,True
390219000,8,390219,-39775,1377,18,True,True,True
390229000,8,390229,-34996,1377,18,True,True,True
390239000,8,390239,-30216,1377,18,True,True,True
390249000,7,390249,-25437,1377,18,True,True,True
390259000,7,390259,-20658,1377,18,True,True,True
390269000,7,390269,-15877,1377,18,True,True,True
390279000,7,390279,-11098,1377,18,True,True,True
390289000,7,390289,-6318,1377,18,True,True,True
390299000,7,390299,-1540,1377,18,True,True,True
390309000,7,390309,3238,1377,18,True,True,True
390319000,7,390319,8018,1377,18,True,True,True
390329000,7,390329,12798,1377,18,True,True,True
390339000,7,390339,17579,1377,18,True,True,True
390349000,7,390349,22358,1377,18,True,True,True
390359000,7,390359,27136,1377,18,True,True,True
390369000,7,390369,31914,1377,18,True,True,True
390379000,7,390379,36693,1377,18,True,True,True
390389000,7,390389,41471,1377,18,True,True,True
390399000,6,390399,46249,1377,18,True,True,True
390409000,6,390409,51026,1377,18,True,True,True
390419000,6,390419,55804,1377,18,True,True,True
390429000,6,390429,60581,1377,18,True,True,True
390439000,6,390439,65357,1377,18,True,True,True
390449000,6,390449,70136,1377,18,True,True,True
390459000,6,390459,74914,1377,18,True,True,True
390469000,6,390469,79693,1377,18,True,True,True
390479000,6,390479,84471,1377,18,True,True,True
390489000,6,390489,89248,1377,18,True,True,True
390499000,6,390499,94026,1377,18,True,True,True
390509000,6,390509,98804,1377,18,True,True,True
390519000,6,390519,103580,1377,18,True,True,True
390529000,6,390529,108358,1377,18,True,True,True
390539000,6,390539,113135,1377,18,True,True,True
390549000,6,390549,117911,1377,18,True,True,True
390559000,6,390559,122687,1377,18,True,True,True
390569000,6,390569,127463,1377,18,True,True,True
390579000,6,390579,132241,1377,18,True,True,True
390589000,6,390589,137018,1377,18,True,True,True
390599000,6,390599,141795,1377,18,True,True,True
390609000,6,390609,146573,1377,18,True,True,True
390619000,6,390619,151351,1377,18,True,True,True
390629000,7,390629,156129,1377,18,True,True,True
390639000,7,390639,160908,1377,18,True,True,True
390649000,7,390649,165687,1377,18,True,True,True
390659000,7,390659,170464,1377,18,True,True,True
390669000,7,390669,175241,1377,18,True,True,True
390679000,8,390679,180019,1377,18,True,True,True
390689000,8,390689,184795,1377,18,True,True,True
390699000,8,390699,189569,1377,18,True,True,True
390709000,8,390709,194344,1377,18,True,True,True
390719000,7,390719,199120,1377,18,True,True,True
390729000,7,390729,203895,1377,18,True,True,True
390739000,8,390739,208668,1377,18,True,True,True
390749000,8,390749,213443,1377,18,True,True,True
390759000,7,390759,218220,1377,18,True,True,True
390769000,7,390769,222994,1377,18,True,True,True
