iTOW,galTow,fGalTow,galWno,leapS,galTowValid,galWnoValid,leapSValid,tAcc
389409000,389409,-427122,1377,18,True,True,True,6
389419000,389419,-422337,1377,18,True,True,True,6
389429000,389429,-417551,1377,18,True,True,True,6
389439000,389439,-412764,1377,18,True,True,True,6
389449000,389449,-407980,1377,18,True,True,True,6
389459000,389459,-403197,1377,18,True,True,True,6
389469000,389469,-398414,1377,18,True,True,True,6
389479000,389479,-393630,1377,18,True,True,True,6
389489000,389489,-388846,1377,18,True,True,True,6
389499000,389499,-384063,1377,18,True,True,True,6
389509000,389509,-379277,1377,18,True,True,True,6
389519000,389519,-374492,1377,18,True,True,True,6
389529000,389529,-369706,1377,18,True,True,True,6
389539000,389539,-364921,1377,18,True,True,True,6
389549000,389549,-360136,1377,18,True,True,True,6
389559000,389559,-355347,1377,18,True,True,True,6
389569000,389569,-350559,1377,18,True,True,True,6
389579000,389579,-345774,1377,18,True,True,True,6
389589000,389589,-340991,1377,18,True,True,True,6
389599000,389599,-336209,1377,18,True,True,True,6
389609000,389609,-331426,1377,18,True,True,True,6
389619000,389619,-326644,1377,18,True,True,True,6
389629000,389629,-321863,1377,18,True,True,True,6
389639000,389639,-317081,1377,18,True,True,True,6
389649000,389649,-312298,1377,18,True,True,True,6
389659000,389659,-307516,1377,18,True,True,True,5
389669000,389669,-302736,1377,18,True,True,True,5
389679000,389679,-297956,1377,18,True,True,True,5
389689000,389689,-293175,1377,18,True,True,True,5
389699000,389699,-288392,1377,18,True,True,True,5
389709000,389709,-283610,1377,18,True,True,True,5
389719000,389719,-278827,1377,18,True,True,True,5
389729000,389729,-274046,1377,18,True,True,True,5
389739000,389739,-269262,1377,18,True,True,True,5
389749000,389749,-264479,1377,18,True,True,True,5
389759000,389759,-259697,1377,18,True,True,True,5
389769000,389769,-254914,1377,18,True,True,True,5
389779000,389779,-250129,1377,18,True,True,True,5
389789000,389789,-245344,1377,18,True,True,True,5
389799000,389799,-240560,1377,18,True,True,True,5
389809000,389809,-235777,1377,18,True,True,True,5
389819000,389819,-230993,1377,18,True,True,True,5
389829000,389829,-226208,1377,18,True,True,True,5
389839000,389839,-221423,1377,18,True,True,True,5
389849000,389849,-216639,1377,18,True,True,True,5
389859000,389859,-211857,1377,18,True,True,True,5
389869000,389869,-207077,1377,18,True,True,True,5
389879000,389879,-202297,1377,18,True,True,True,5
389889000,389889,-197518,1377,18,True,True,True,5
389899000,389899,-192738,1377,18,True,True,True,5
389909000,389909,-187957,1377,18,True,True,True,5
389919000,389919,-183178,1377,18,True,True,True,5
389929000,389929,-178397,1377,18,True,True,True,5
389939000,389939,-173615,1377,18,True,True,True,5
389949000,389949,-168835,1377,18,True,True,True,5
389959000,389959,-164054,1377,18,True,True,True,5
389969000,389969,-159272,1377,18,True,True,True,5
389979000,389979,-154491,1377,18,True,True,True,5
389989000,389989,-149709,1377,18,True,True,True,5
389999000,389999,-144928,1377,18,True,True,True,5
390009000,390009,-140147,1377,18,True,True,True,5
390019000,390019,-135367,1377,18,True,True,True,6
390029000,390029,-130588,1377,18,True,True,True,6
390039000,390039,-125808,1377,18,True,True,True,6
390049000,390049,-121029,1377,18,True,True,True,6
390059000,390059,-116249,1377,18,True,True,True,7
390069000,390069,-111470,1377,18,True,True,True,7
390079000,390079,-106691,1377,18,True,True,True,7
390089000,390089,-101911,1377,18,True,True,True,7
390099000,390099,-97132,1377,18,True,True,True,8
390109000,390109,-92352,1377,18,True,True,True,8
