iTOW,fTOW,week,leapS,towValid,weekValid,leapSValid,tAcc
392809000,194767,2401,18,True,True,True,10
392819000,199518,2401,18,True,True,True,10
392829000,204269,2401,18,True,True,True,10
392839000,209020,2401,18,True,True,True,10
392849000,213772,2401,18,True,True,True,10
392859000,218523,2401,18,True,True,True,10
392869000,223275,2401,18,True,True,True,10
392879000,228027,2401,18,True,True,True,10
392889000,232779,2401,18,True,True,True,10
392899000,237529,2401,18,True,True,True,10
392909000,242279,2401,18,True,True,True,10
392919000,247029,2401,18,True,True,True,9
392929000,251780,2401,18,True,True,True,9
392939000,256529,2401,18,True,True,True,9
392949000,261278,2401,18,True,True,True,9
392959000,266026,2401,18,True,True,True,9
392969000,270772,2401,18,True,True,True,9
392979000,275521,2401,18,True,True,True,9
392989000,280270,2401,18,True,True,True,9
392999000,285020,2401,18,True,True,True,9
393009000,289770,2401,18,True,True,True,9
393019000,294519,2401,18,True,True,True,9
393029000,299268,2401,18,True,True,True,9
393039000,304016,2401,18,True,True,True,9
