rcvTow,week,leapS,numMeas,leapSec,clkReset,prMes,cpMes,doMes,gnssId,svId,sigId,freqId,locktime,cno,prStdev,cpStdev,doStdev,prValid,cpValid,halfCyc,subHalfCyc
225535.994,2386,18,19,True,False,22657843.296732716,119067713.36296217,-1007.9210815429688,0,27,0,0,64500,43,4,0,1,False,True,True,True
225535.994,2386,18,19,True,False,23036791.989593998,121059132.6371829,-2852.572021484375,2,7,0,0,64500,28,6,0,7,False,False,False,False
225535.994,2386,18,19,True,False,21226594.527108565,111546474.88680455,1153.1728515625,0,32,0,0,64500,36,5,0,3,False,False,False,False
225535.994,2386,18,19,True,False,22647727.211397156,119014591.4898691,939.490966796875,2,33,0,0,64500,46,3,0,1,True,False,True,True
225535.994,2386,18,19,True,False,21520920.645563833,113093204.87565824,-1593.5732421875,2,26,0,0,64500,32,6,0,4,False,False,False,False
225535.994,2386,18,19,True,False,21424616.82818028,84074805.86754388,862.2925415039062,0,10,7,0,64500,43,3,0,1,False,True,True,True
225535.994,2386,18,19,True,False,18530672.191305153,72718312.92321421,-1282.7183837890625,0,18,7,0,64500,37,5,0,3,True,True,True,True
225535.994,2386,18,19,True,False,19037100.272872664,74705667.99820304,-51.971439361572266,0,23,7,0,64500,47,3,0,1,True,False,True,True
225535.994,2386,18,19,True,False,18867251.8643097,74039148.15822212,-848.8836059570312,0,24,7,0,0,27,8,0,15,False,True,True,False
225535.994,2386,18,19,True,False,22657838.943322193,88914211.90823202,-752.4622192382812,0,27,7,0,64500,40,3,0,2,True,True,True,True
225535.994,2386,18,19,True,False,23036790.23068185,90401302.93561864,-2129.037841796875,2,7,4,0,64500,26,7,0,8,False,False,False,False
225535.994,2386,18,19,True,False,22647717.018794775,88874506.17140765,701.4539184570312,2,33,4,0,64500,48,3,0,1,True,False,True,True
225535.994,2386,18,19,True,False,21226589.727670476,83297697.17251024,860.6299438476562,0,32,7,0,860,31,6,0,5,False,False,False,False
225535.994,2386,18,19,True,False,24765895.82368541,97186693.9076198,-2636.100830078125,2,13,4,0,0,22,9,0,15,False,False,False,True
