iTOW,clkB,clkD,tAcc,fAcc
229187000,535769,551,23,883
229192000,538523,551,23,877
229197000,541277,551,23,878
229202000,544031,551,23,876
229207000,546785,551,23,876
229212000,549539,551,23,888
229217000,552293,551,23,879
229222000,555046,551,22,884
229227000,557800,551,22,880
229232000,560553,551,22,880
229237000,563306,551,22,896
229242000,566059,551,22,896
229247000,568811,551,22,905
229252000,571564,551,22,899
229257000,574317,551,22,893
229262000,577070,551,22,893
229267000,579822,550,22,891
229272000,582574,550,22,895
229277000,585326,550,22,879
229282000,588078,550,22,864
229287000,590831,550,22,884
229292000,593582,550,22,928
229297000,596334,550,22,953
229302000,599086,551,22,943
229307000,601838,550,22,937
229312000,604588,550,22,879
229317000,607339,550,22,995
229322000,610090,550,22,920
229327000,612842,550,22,916
229332000,615592,550,22,924
229337000,618344,550,22,929
229342000,621094,550,22,933
229347000,623846,550,22,888
229352000,626597,550,22,874
229357000,629348,550,22,889
229362000,632099,550,22,876
229367000,634850,550,22,868
229372000,637600,550,22,867
229377000,640351,550,22,870
229382000,643101,550,22,871
229387000,645851,550,22,947
229392000,648601,550,22,937
229397000,651351,550,23,935
229402000,654100,550,23,940
229407000,656849,550,23,946
229412000,659597,550,23,922
229417000,662346,550,23,920
229422000,665094,550,23,932
229427000,667843,550,23,929
229432000,670591,550,23,926
229437000,673339,550,23,916
229442000,676088,550,23,922
229447000,678836,550,23,917
229452000,681584,550,23,936
229457000,684333,550,23,941
229462000,687081,550,23,958
229467000,689827,549,23,977
229472000,692575,549,23,971
229477000,695323,550,23,974
229482000,698070,549,23,975
229487000,700816,549,23,983
229492000,703563,549,23,970
229497000,706309,549,23,978
229502000,709054,549,23,1009
229507000,711801,549,23,1029
229512000,714547,549,23,952
229517000,717293,549,23,942
229522000,720040,549,23,965
229527000,722786,549,24,978
229532000,725532,549,24,1023
229537000,728278,549,24,1012
229542000,731025,549,24,906
229547000,733772,549,24,891
229552000,736518,549,23,901
229557000,739264,549,23,912
229562000,742010,549,23,919
229567000,744756,549,23,903
229572000,747502,549,23,900
229577000,750247,549,23,902
229582000,752993,549,23,901
229587000,755739,549,23,896
229592000,758484,549,23,876
229597000,761230,549,23,868
229602000,763977,549,22,860
229607000,766722,549,22,865
229612000,769467,549,22,876
229617000,772212,549,22,881
229622000,774957,549,22,868
229627000,777701,549,22,869
229632000,780446,549,22,881
229637000,783190,549,22,886
229642000,785934,549,22,882
229647000,788679,549,22,891
229652000,791422,549,22,919
229657000,794166,549,22,912
229662000,796910,549,22,975
229667000,799654,549,22,1027
229672000,802397,549,22,1040
229677000,805140,549,22,1071
229682000,807883,549,23,1079
229687000,810626,549,23,1099
229692000,813369,549,23,1116
229697000,816111,549,23,1128
229702000,818854,549,24,1400
229707000,821595,548,25,1470
229712000,824337,549,26,1480
229717000,827076,548,26,1459
229722000,829817,548,27,1456
229727000,832559,548,28,1468
229732000,835300,548,29,1456
229737000,838041,548,29,1452
229742000,840780,548,30,1446
229747000,843522,548,30,1211
229752000,846264,548,30,1156
229757000,849006,548,29,1141
229762000,851748,548,29,1130
229767000,854490,548,29,1135
229772000,857231,548,29,1083
229777000,859973,548,29,1090
229782000,862715,548,29,1059
229787000,865457,548,28,1089
229792000,868199,548,28,1104
229797000,870941,548,28,1099
229802000,873682,548,28,1080
229807000,876423,548,28,1044
229812000,879165,548,28,1031
229817000,881905,548,27,1010
229822000,884646,548,27,1024
229827000,887387,548,27,1037
229832000,890127,548,27,1046
229837000,892867,548,27,1056
229842000,895606,548,27,1048
229847000,898346,548,27,1054
229852000,901086,548,26,1043
229857000,903826,548,26,1030
229862000,906566,548,26,1038
229867000,909305,548,26,1079
229872000,912043,548,26,1101
229877000,914783,548,26,1065
229882000,917521,548,26,1036
229887000,920260,548,26,1046
229892000,922999,548,26,1032
229897000,925737,548,26,1037
229902000,928476,548,26,1055
229907000,931214,548,26,1067
229912000,933953,548,26,1066
229917000,936691,548,25,887
229922000,939429,548,25,1063
229927000,942167,548,25,1070
229932000,944904,547,25,1103
229937000,947641,548,25,993
229942000,950379,547,25,973
229947000,953115,547,25,975
229952000,955852,547,25,953
229957000,958589,547,25,944
229962000,961325,547,25,945
229967000,964062,547,25,950
229972000,966798,547,24,962
229977000,969535,547,25,1098
229982000,972272,547,25,1123
229987000,975009,547,25,997
229992000,977745,547,25,993
229997000,980482,547,24,1030
230002000,983218,547,24,1025
230007000,985954,547,24,1021
230012000,988690,547,24,1055
230017000,991425,547,24,1058
230022000,994161,547,25,1077
230027000,996896,547,25,1062
230032000,999632,547,25,1017
230037000,2367,547,25,1009
230042000,5103,547,25,1032
230047000,7838,547,25,1070
230052000,10572,547,24,1046
230057000,13307,547,24,1031
230062000,16041,547,25,1031
230067000,18775,547,24,1021
230072000,21509,547,24,1012
230077000,24243,547,24,1007
230082000,26976,547,24,981
230087000,29709,547,24,979
230092000,32443,547,24,984
230097000,35176,547,24,992
230102000,37909,547,24,985
230107000,40642,547,24,984
230112000,43375,546,24,959
230117000,46108,547,23,948
230122000,48841,546,23,941
230127000,51573,546,23,934
230132000,54306,546,23,955
230137000,57038,546,23,937
230142000,59770,546,23,973
230147000,62502,546,23,977
230152000,65234,546,23,970
230157000,67965,546,23,972
230162000,70696,546,23,975
230167000,73427,546,23,983
230172000,76158,546,23,973
230177000,78889,546,22,974
230182000,81620,546,22,974
230187000,84351,546,22,988
230192000,87081,546,22,979
230197000,89810,546,22,959
230202000,92540,546,22,966
230207000,95270,546,22,914
230212000,98001,546,22,918
230217000,100730,546,22,912
230222000,103460,546,22,915
230227000,106189,546,22,911
230232000,108919,546,22,893
230237000,111649,546,22,909
230242000,114379,546,21,904
230247000,117110,546,21,908
230252000,119839,546,21,940
230257000,122568,546,21,945
230262000,125298,546,21,932
230267000,128027,546,21,922
230272000,130756,546,21,917
230277000,133485,546,21,913
230282000,136215,546,21,930
230287000,138943,546,21,837
230292000,141673,546,21,829
230297000,144402,546,21,829
230302000,147131,546,21,833
230307000,149860,546,21,1005
230312000,152589,546,21,874
230317000,155317,546,21,872
230322000,158046,546,21,879
230327000,160774,546,21,953
230332000,163501,546,21,937
230337000,166230,546,21,945
230342000,168958,546,21,953
230347000,171686,545,21,949
230352000,174413,546,21,943
230357000,177141,546,21,891
230362000,179869,546,21,976
230367000,182596,545,21,957
230372000,185324,545,21,945
230377000,188050,545,21,935
230382000,190777,545,21,917
230387000,193505,545,21,908
230392000,196232,545,21,919
230397000,198959,545,21,973
230402000,201686,545,21,980
230407000,204413,545,21,941
230412000,207140,545,21,971
230417000,209867,545,21,952
230422000,212594,545,21,957
230427000,215321,545,21,966
230432000,218047,545,21,938
230437000,220774,545,21,950
230442000,223500,545,21,956
230447000,226227,545,21,947
230452000,228953,545,21,964
230457000,231679,545,21,971
230462000,234406,545,21,1016
230467000,237132,545,22,984
230472000,239858,545,22,975
230477000,242583,545,22,926
230482000,245309,545,21,912
230487000,248035,545,21,913
230492000,250760,545,21,958
230497000,253486,545,22,968
230502000,256212,545,22,992
230507000,258937,545,22,994
230512000,261662,545,22,1004
230517000,264387,545,22,1000
230522000,267113,545,22,1015
230527000,269838,545,22,1162
230532000,272563,545,23,1181
230537000,275288,545,23,1157
230542000,278013,545,23,1168
230547000,280738,545,24,1166
230552000,283464,545,24,1163
230557000,286189,545,24,1183
230562000,288913,545,24,1209
230567000,291638,545,25,1198
230572000,294363,545,25,1206
230577000,297088,545,25,1217
230582000,299813,545,26,1208
230587000,302537,545,26,1221
230592000,305262,545,26,1212
230597000,307987,545,26,1177
230602000,310712,545,26,1199
230607000,313436,545,27,1219
230612000,316161,545,27,1220
230617000,318885,545,27,1237
230622000,321609,545,27,1212
230627000,324333,545,27,1219
230632000,327057,545,28,1212
230637000,329781,545,28,1181
230642000,332505,545,28,1190
230647000,335229,545,28,1176
230652000,337953,545,28,1160
230657000,340677,545,28,1110
230662000,343403,545,28,1046
230667000,346127,545,27,1118
230672000,348851,545,27,1048
230677000,351576,545,27,1066
230682000,354300,545,27,1046
230687000,357025,545,27,1101
230692000,359750,545,27,1078
230697000,362474,545,27,1158
230702000,365199,545,27,961
230707000,367923,545,26,935
230712000,370648,545,26,933
230717000,373373,545,26,944
230722000,376098,545,26,931
230727000,378822,545,26,945
230732000,381548,545,25,936
230737000,384273,545,25,981
230742000,386998,545,25,942
230747000,389723,545,25,1038
230752000,392447,545,25,1101
230757000,395172,545,25,1140
230762000,397896,545,26,1329
230767000,400620,545,26,1319
230772000,403345,545,26,1106
230777000,406070,545,26,1068
230782000,408794,545,26,1081
230787000,411519,545,26,1083
230792000,414244,545,26,1067
230797000,416970,545,26,1173
230802000,419696,545,26,1063
230807000,422421,545,26,1071
230812000,425146,545,26,1040
230817000,427872,545,26,1037
230822000,430596,545,26,1006
230827000,433321,545,25,1003
230832000,436045,545,25,1021
230837000,438770,545,25,1052
230842000,441496,545,25,1039
230847000,444221,545,25,1032
230852000,446946,545,25,1027
230857000,449671,545,25,1115
230862000,452396,545,25,1058
230867000,455121,545,25,1003
230872000,457846,545,25,992
230877000,460571,545,25,992
230882000,463296,545,25,1062
230887000,466021,545,25,1062
230892000,468745,545,25,1013
230897000,471470,545,25,997
230902000,474195,545,25,1029
230907000,476920,545,25,1067
230912000,479645,545,25,1022
230917000,482370,545,25,1018
230922000,485095,545,25,1075
230927000,487820,545,25,1156
230932000,490545,545,25,1128
230937000,493269,545,25,1299
230942000,495992,545,26,1210
230947000,498717,545,26,1180
230952000,501442,545,26,1196
230957000,504166,545,26,1297
230962000,506891,545,27,1309
230967000,509614,545,27,1317
230972000,512340,545,27,1338
230977000,515064,545,28,1327
230982000,517789,545,28,1310
230987000,520514,545,28,1210
230992000,523239,545,29,1208
230997000,525964,545,29,1210
231002000,528688,545,29,1178
231007000,531411,545,29,1181
231012000,534136,545,29,1040
231017000,536859,545,29,1144
231022000,539583,545,29,1078
231027000,542307,545,29,1077
231032000,545032,545,29,1011
231037000,547756,545,28,992
231042000,550480,545,28,978
231047000,553205,545,28,970
231052000,555929,545,27,993
231057000,558652,545,27,988
231062000,561376,545,27,962
231067000,564100,545,26,1016
231072000,566823,545,26,1013
231077000,569547,545,26,979
231082000,572271,545,25,972
231087000,574994,545,25,982
231092000,577717,545,25,1016
231097000,580440,545,25,1023
231102000,583162,545,25,1012
231107000,585885,545,25,1026
231112000,588608,545,25,1030
231117000,591331,545,25,1052
231122000,594053,545,25,1061
231127000,596776,545,25,1062
231132000,599497,544,25,1081
231137000,602220,545,25,1032
231142000,604942,545,25,1075
231147000,607664,544,25,1066
231152000,610386,544,25,1056
231157000,613108,544,25,1211
231162000,615831,545,25,1136
231167000,618553,544,25,1152
231172000,621276,545,25,1162
231177000,623999,545,26,1131
231182000,626721,544,26,1111
231187000,629443,544,26,1103
231192000,632166,545,26,1083
231197000,634889,544,26,1062
231202000,637611,544,26,1102
231207000,640334,544,26,1068
231212000,643056,544,26,1006
231217000,645779,545,26,1002
231222000,648502,545,26,992
231227000,651225,544,25,1003
231232000,653948,545,25,987
231237000,656671,545,25,1003
231242000,659392,544,25,1025
231247000,662114,544,25,1006
231252000,664835,544,26,1026
231257000,667556,544,26,1178
231262000,670278,544,26,1243
231267000,673000,544,26,1190
231272000,675722,544,27,1375
231277000,678443,544,27,1302
231282000,681163,544,28,1428
231287000,683884,544,29,1445
231292000,686606,544,29,1429
231297000,689327,544,30,1436
231302000,692049,544,30,1457
231307000,694769,544,31,1361
231312000,697490,544,31,1393
231317000,700211,544,31,1200
231322000,702931,544,31,1060
231327000,705652,544,31,1033
231332000,708372,544,30,1030
231337000,711092,544,30,1018
231342000,713813,544,30,1023
231347000,716533,544,30,1032
231352000,719253,544,30,1089
231357000,721973,544,30,1180
231362000,724693,544,29,1111
231367000,727413,544,29,1029
231372000,730133,544,29,1064
231377000,732853,544,29,1029
231382000,735574,544,29,1009
231387000,738295,544,28,1014
231392000,741014,544,28,1018
231397000,743734,544,28,1034
231402000,746453,544,28,1020
231407000,749172,544,27,1018
231412000,751892,544,27,1009
231417000,754611,544,27,1004
231422000,757331,544,27,1006
231427000,760050,544,27,990
231432000,762770,544,26,980
231437000,765489,544,26,986
231442000,768208,544,26,980
231447000,770928,544,26,975
231452000,773648,544,25,974
231457000,776367,544,25,978
231462000,779086,544,25,994
231467000,781806,544,25,974
231472000,784524,544,25,979
231477000,787243,544,25,965
231482000,789961,544,25,956
231487000,792679,543,24,972
231492000,795397,544,24,989
231497000,798116,544,24,995
231502000,800834,544,24,1007
231507000,803551,544,24,992
231512000,806269,544,24,992
231517000,808986,544,24,1003
231522000,811703,543,24,1002
231527000,814421,544,24,1004
231532000,817138,544,24,1056
231537000,819855,544,24,1023
231542000,822573,543,24,1034
231547000,825290,544,24,1042
231552000,828008,544,25,1036
231557000,830726,544,25,1033
231562000,833443,543,25,1031
231567000,836160,543,25,1031
231572000,838878,544,25,1073
231577000,841595,543,25,1015
231582000,844312,543,25,1002
231587000,847029,543,25,993
231592000,849746,543,25,999
231597000,852461,543,25,1023
231602000,855178,543,25,1073
231607000,857894,543,25,1039
231612000,860610,543,25,1100
231617000,863327,543,25,1126
231622000,866043,543,25,1122
231627000,868759,543,25,1009
231632000,871475,543,25,1079
231637000,874191,543,25,981
231642000,876907,543,25,985
231647000,879623,543,25,994
231652000,882339,543,25,993
231657000,885055,543,24,988
231662000,887771,543,24,977
231667000,890487,543,24,972
231672000,893203,543,24,970
231677000,895919,543,24,966
231682000,898634,543,24,962
231687000,901350,543,24,962
231692000,904065,543,23,961
231697000,906781,543,23,956
231702000,909497,543,23,980
231707000,912212,543,23,1028
231712000,914927,543,23,1001
231717000,917641,543,23,983
231722000,920356,543,23,989
231727000,923071,543,23,995
231732000,925786,543,23,983
231737000,928501,543,23,990
231742000,931216,543,23,1050
231747000,933931,543,23,979
231752000,936646,543,23,983
231757000,939361,543,23,996
231762000,942076,543,23,990
231767000,944791,543,23,985
231772000,947506,543,23,991
231777000,950222,543,23,991
231782000,952937,543,23,988
231787000,955653,543,23,983
231792000,958368,543,23,986
231797000,961083,543,23,987
231802000,963798,543,23,985
231807000,966513,543,23,990
231812000,969228,543,23,992
231817000,971944,543,23,986
231822000,974659,543,23,1004
231827000,977374,543,23,960
231832000,980089,543,23,918
231837000,982804,543,23,928
231842000,985518,543,23,923
231847000,988232,543,23,956
231852000,990947,543,23,1029
231857000,993661,543,23,1012
231862000,996375,543,23,953
231867000,999089,543,23,950
231872000,1803,543,23,942
231877000,4518,543,23,932
231882000,7233,543,23,925
231887000,9947,543,23,921
231892000,12662,543,23,925
231897000,15377,543,23,893
231902000,18090,543,23,897
231907000,20805,543,23,889
231912000,23520,543,23,886
231917000,26234,543,23,880
231922000,28949,543,23,874
231927000,31664,543,23,878
231932000,34379,543,23,874
231937000,37093,543,22,869
231942000,39808,543,22,857
231947000,42523,543,22,863
231952000,45237,543,22,870
231957000,47953,543,22,873
231962000,50668,543,22,875
231967000,53383,543,22,868
231972000,56098,543,22,865
231977000,58813,543,22,875
231982000,61528,543,22,882
231987000,64243,543,22,915
231992000,66958,543,22,931
231997000,69672,543,22,927
232002000,72387,543,22,928
232007000,75102,543,22,921
232012000,77817,543,22,915
232017000,80533,543,22,911
232022000,83249,543,21,916
232027000,85964,543,21,906
232032000,88680,543,21,919
232037000,91395,543,21,922
232042000,94111,543,21,917
232047000,96827,543,21,916
232052000,99543,543,21,911
232057000,102258,543,21,906
232062000,104975,543,21,903
232067000,107692,543,21,896
232072000,110408,543,21,883
232077000,113125,543,21,879
232082000,115842,543,21,876
232087000,118558,543,20,886
232092000,121274,543,20,892
232097000,123990,543,20,899
232102000,126706,543,20,915
232107000,129421,543,20,910
232112000,132138,543,20,900
232117000,134854,543,20,899
232122000,137569,543,20,917
232127000,140285,543,20,928
232132000,143002,543,20,922
232137000,145718,543,20,922
232142000,148434,543,20,924
232147000,151150,543,20,939
232152000,153866,543,20,1014
232157000,156582,543,20,1004
232162000,159298,543,20,1009
232167000,162014,543,20,1027
232172000,164730,543,20,1023
232177000,167447,543,20,1023
232182000,170162,543,21,1028
232187000,172878,543,21,1060
232192000,175593,543,21,1055
232197000,178309,543,21,1078
232202000,181025,543,21,1067
232207000,183741,543,21,1076
232212000,186457,543,21,1062
232217000,189173,543,21,1044
