iTOW,numSvs,gnssId,svId,cno,elev,azim,prRes,qualityInd,health,diffCorr,smoothed,orbitSource,ephAvail,almAvail,anoAvail,aopAvail,sbasCorrUsed,rtcmCorrUsed,slasCorrUsed,spartnCorrUsed,prCorrUsed,crCorrUsed,doCorrUsed,clasCorrUsed,lppCorrUsed,hasCorrUsed,svUse
384779000,20,0,23,17,16,5121,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384779000,20,0,25,0,38,5121,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
384779000,20,0,28,42,74,5121,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384779000,20,0,31,35,48,5121,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384779000,20,0,32,38,55,5121,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384779000,20,2,7,21,30,5121,0,0,1,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384779000,20,2,10,0,2,5121,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
384779000,20,2,12,35,17,5121,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384779000,20,2,19,37,29,5121,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384779000,20,2,21,25,23,5121,0,0,0,True,True,0,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False
384779000,20,2,26,18,25,5121,0,0,0,True,True,0,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False
384779000,20,2,27,22,42,5121,0,0,1,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384779000,20,2,29,49,57,5121,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384779000,20,2,30,22,21,5121,0,0,1,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384779000,20,2,33,40,40,5121,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384789000,19,0,1,38,15,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384789000,19,0,2,42,22,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384789000,19,0,10,20,58,4865,0,0,1,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384789000,19,0,12,28,9,4865,0,0,1,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384789000,19,0,23,23,16,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
