iTOW,numSigs,gnssId,svId,freqId,prRes,cno,qualityInd,corrSource,ionoModel,health,prSmoothed,prUsed,crUsed,doUsed,prCorrUsed,crCorrUsed,doCorrUsed,authStatus,sigId
384729000,56,0,1,0,14336,39,7,0,1,0,True,False,True,False,True,True,True,True,0
384729000,56,0,1,0,14336,36,7,0,1,0,True,False,True,False,True,True,True,True,3
384729000,56,0,1,0,14336,37,7,0,0,0,True,False,False,True,True,False,False,True,7
384729000,56,0,2,0,14336,43,7,0,1,0,True,False,True,False,True,True,True,True,0
384729000,56,0,2,0,14336,0,1,0,0,0,True,False,True,False,True,False,True,False,4
384729000,56,0,2,0,14336,0,1,0,0,0,False,False,False,False,False,False,False,False,7
384729000,56,0,10,0,14336,26,4,0,0,0,True,False,True,False,True,False,True,False,0
384729000,56,0,10,0,14336,27,4,0,1,0,True,False,True,False,True,False,True,False,3
384729000,56,0,10,0,14336,16,3,0,0,0,True,False,False,True,True,False,False,True,7
384729000,56,0,12,0,14336,34,7,0,0,0,True,False,True,False,True,False,True,False,0
384729000,56,0,12,0,14336,0,1,0,0,0,False,False,False,False,False,False,False,False,7
384729000,56,0,23,0,14336,26,4,0,0,0,True,False,True,False,True,False,True,False,0
384729000,56,0,23,0,14336,0,1,0,0,0,True,False,True,False,True,False,True,False,4
384729000,56,0,23,0,14336,21,4,0,0,0,False,False,False,False,False,False,False,False,7
384729000,56,0,25,0,14336,0,1,0,0,0,True,False,True,False,True,False,True,False,0
384729000,56,0,25,0,14336,20,4,0,1,0,True,False,True,False,True,False,True,False,3
384729000,56,0,25,0,14336,31,7,0,0,0,True,False,False,True,True,False,False,True,7
384729000,56,0,28,0,14336,42,7,0,1,0,True,False,True,False,True,True,True,True,0
384729000,56,0,28,0,14336,40,7,0,1,0,True,False,True,False,True,True,True,True,3
384729000,56,0,28,0,14336,42,7,0,0,0,True,False,False,True,True,False,False,True,7
384729000,56,0,31,0,14336,34,7,0,1,0,True,False,True,False,True,True,True,True,0
384729000,56,0,31,0,14336,16,4,0,0,0,True,False,True,False,True,False,True,False,3
384729000,56,0,31,0,14336,0,1,0,0,0,False,False,False,False,False,False,False,False,7
384729000,56,0,32,0,14336,40,7,0,1,0,True,False,True,False,True,True,True,True,0
384729000,56,0,32,0,14336,43,7,0,1,0,True,False,True,False,True,True,True,True,3
384729000,56,0,32,0,14336,43,7,0,0,0,True,False,False,True,True,False,False,True,7
384729000,56,2,7,0,14336,23,4,0,1,0,True,False,True,False,True,True,True,True,0
384729000,56,2,7,0,14336,0,1,0,0,0,False,False,False,False,False,False,False,False,8
384729000,56,2,7,0,14336,20,4,0,0,0,True,False,True,False,True,False,True,False,4
384729000,56,2,10,0,14336,0,1,0,0,0,True,False,True,False,True,False,True,False,0
