rcvTow,week,leapS,numMeas,prMes,cpMes,doMes,gnssId,svId,freqId,locktime,cno,prStd,cpStd,doStd
391549.991,2383,18,27,,,,,,,,,,,
391549.991,2383,18,27,16972121.107938122,90598350.35206512,856.3536987304688,6,22,4,7140,48,,,
391549.991,2383,18,27,19141871.84365948,102396095.94511092,2928.66015625,6,23,10,7080,49,,,
391549.991,2383,18,27,16772048.286433898,89782056.32148145,-1932.206787109375,6,7,12,7120,43,,,
391549.991,2383,18,27,17437536.663306456,93377224.56764764,1965.2747802734375,6,8,13,7080,43,,,
391549.991,2383,18,27,20965878.895423338,111838619.90869227,-4470.5341796875,6,255,2,7100,43,,,
391549.991,2383,18,27,18040165.046305113,94801710.4076871,402.16064453125,0,29,0,1920,46,,,
391549.991,2383,18,27,24070826.488449715,126493044.23853771,-2152.391357421875,2,30,0,5780,31,,,
391549.991,2383,18,27,18500083.22293346,97218590.56897278,-1915.4622802734375,0,5,0,1920,51,,,
391549.991,2383,18,27,25392041.10918405,102243227.7585163,-341.955810546875,2,27,0,7120,44,,,
391549.991,2383,18,27,24070821.85101945,96923225.37786317,-1649.764404296875,2,30,0,5240,28,,,
391549.991,2383,18,27,18500082.39418772,75754745.80317855,-1492.5498046875,0,5,0,7000,46,,,
391549.991,2383,18,27,18040161.182896707,73871458.52378987,313.226318359375,0,29,0,7000,41,,,
391549.991,2383,18,27,21245588.414353184,86997140.72753395,1400.0672607421875,0,23,0,7080,38,,,
391549.991,2383,18,27,21438576.90995567,87787388.34085143,1817.6484375,0,18,0,7080,48,,,
391549.991,2383,18,27,20965887.018429894,86985614.8507596,-3476.8427734375,6,255,2,7100,44,,,
391549.991,2383,18,27,16972127.121981163,70465401.63116448,665.9160766601562,6,22,4,7080,43,,,
391549.991,2383,18,27,16772053.436272357,69830513.10036877,-1502.80322265625,6,7,12,7120,43,,,
391549.991,2383,18,27,17437549.61471846,72626730.59185137,1528.56298828125,6,8,13,7080,40,,,
391550.991,2383,18,26,,,,,,,,,,,
391550.991,2383,18,26,,,,,,,,,,,
391550.991,2383,18,26,,,,,,,,,,,
391550.991,2383,18,26,,,,,,,,,,,
391550.991,2383,18,26,,,,,,,,,,,
391550.991,2383,18,26,,,,,,,,,,,
391550.991,2383,18,26,,,,,,,,,,,
391550.991,2383,18,26,,,,,,,,,,,
391550.991,2383,18,26,,,,,,,,,,,
391550.991,2383,18,26,16971960.739739083,90597494.3216697,855.9020385742188,6,22,4,8140,48,,,
391550.991,2383,18,26,19141324.658647634,102393167.50684984,2928.490234375,6,23,10,8080,49,,,
391550.991,2383,18,26,16772409.433976412,89783988.98454212,-1932.85302734375,6,7,12,8120,43,,,
391550.991,2383,18,26,17437170.00966184,93375259.75857122,1964.7977294921875,6,8,13,8080,43,,,
391550.991,2383,18,26,20966716.879728306,111843090.4363124,-4470.4287109375,6,255,2,8100,43,,,
391550.991,2383,18,26,18040088.453530207,94801308.61939141,401.5197448730469,0,29,0,2920,46,,,
391550.991,2383,18,26,18500447.776339673,97220506.14516376,-1915.6094970703125,0,5,0,2920,51,,,
391550.991,2383,18,26,25392126.15917208,102243569.99049325,-342.341552734375,2,27,0,8120,44,,,
391550.991,2383,18,26,24071231.678317577,96924874.74572931,-1649.36279296875,2,30,0,6240,27,,,
391550.991,2383,18,26,18500446.88435434,75756238.45417769,-1492.63720703125,0,5,0,8000,46,,,
391550.991,2383,18,26,18040085.130101338,73871145.44225024,312.738037109375,0,29,0,8000,41,,,
391550.991,2383,18,26,21245246.71717237,86995740.68652971,1400.1708984375,0,23,0,8080,38,,,
