message_type,timestamp,iTOW,week,leapS,numMeas,recStat,version,meas_index,prMes,cpMes,doMes,gnssId,svId,sigId,freqId,locktime,cno,prStdev,cpStdev,doStdev,trkStat
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,16,21318675.9150919,114120540.31707,1160.409423828,6,3,0,12,8000,50,5,1,5,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,17,22893977.7492092,92184561.3066189,-76.321777344,2,3,6,0,8000,43,3,1,6,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,18,22515060.5957362,90658819.4869806,-1588.748535156,2,5,6,0,8000,44,3,1,5,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,19,23784707.4479356,95771160.4278073,1128.20703125,2,15,6,0,8000,50,3,1,4,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,20,21709479.4646739,88896688.8615828,1425.338134766,0,10,3,0,8000,43,4,1,6,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,21,19830056.3249622,81200763.5238157,155.609130859,0,23,3,0,8000,42,4,2,6,15
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,22,23893509.1602601,97839924.4237614,-989.084228516,0,27,3,0,8000,40,4,2,7,15
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,23,21617372.7397422,88519530.454105,985.455810547,0,32,3,0,8000,40,4,2,7,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,0,21708782.6228255,114080418.51935,1828.978759766,0,10,0,0,10000,52,3,1,5,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,1,19829980.4338257,104207246.354064,199.487289429,0,23,0,0,10000,42,3,1,6,15
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,2,23893985.8506502,125563742.519952,-1270.532958984,0,27,0,0,10000,40,4,1,6,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,3,21616887.3345739,113597506.803826,1263.790771484,0,32,0,0,10000,45,3,1,6,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,4,22894013.0875754,120308849.517645,-100.114013672,2,3,0,0,10000,44,4,1,6,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,5,22515843.2043578,118321552.758151,-2073.703369141,2,5,0,0,10000,43,4,1,6,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,6,23616138.3547612,122975427.446285,1129.630126953,3,20,0,0,10000,51,3,1,4,15
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,7,23758824.4174291,123718434.570081,834.371337891,3,29,0,0,10000,45,3,1,6,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,8,21957483.4111879,114338375.59564,-613.142822266,3,32,0,0,10000,52,3,1,4,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,9,19836349.4066182,105850560.643597,-1035.809326172,6,2,0,3,10000,51,5,1,4,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,10,21050862.4982218,112370934.560361,2569.111083984,6,18,0,4,10000,50,5,1,5,15
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,11,22281707.7630403,119066715.728322,-1112.401489258,6,11,0,7,3660,29,8,6,8,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,12,21766079.4680887,116352096.525894,-2406.910400391,6,1,0,8,3000,29,8,5,8,15
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,13,20874800.6770417,111626920.205281,-4272.6328125,6,24,0,9,10000,30,7,6,8,15
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,14,18963105.7329897,101475405.770196,-879.472961426,6,17,0,11,10000,44,5,1,6,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,15,23784140.0625517,124986500.326111,1471.693603516,2,15,0,0,10000,45,3,1,5,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,16,21318242.5491951,114118219.909669,1160.008056641,6,3,0,12,10000,49,5,1,5,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,17,22894015.8045045,92184714.3380871,-76.683349609,2,3,6,0,10000,43,3,1,6,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,18,22515849.8071712,90661997.2093299,-1588.942749023,2,5,6,0,10000,44,3,1,6,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,19,23784147.2218176,95768904.5375966,1127.660400391,2,15,6,0,10000,50,3,1,4,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,20,21708783.2506843,88893838.199532,1425.055419922,0,10,3,0,10000,44,4,1,6,7
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,21,19829980.3214463,81200452.3061927,155.438232422,0,23,3,0,10000,42,4,2,7,15
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,22,23893992.470495,97841903.6600227,-989.808166504,0,27,3,0,10000,40,4,2,7,15
RAWX,2025-09-28T15:18:25+00:00,0,2386,18,24,0,0,23,21616891.4864693,88517560.2337071,985.04083252,0,32,3,0,10000,40,4,2,7,7
RAWX,2025-09-28T15:18:30+00:00,0,2386,18,24,0,0,0,21708434.6580849,114078589.499871,1828.946533203,0,10,0,0,11000,52,3,1,4,7
RAWX,2025-09-28T15:18:30+00:00,0,2386,18,24,0,0,1,19829942.7297684,104207047.184484,198.974609375,0,23,0,0,11000,42,3,1,6,15
RAWX,2025-09-28T15:18:30+00:00,0,2386,18,24,0,0,2,23894227.7790729,125565013.328873,-1271.088134766,0,27,0,0,11000,40,4,2,7,7
RAWX,2025-09-28T15:18:30+00:00,0,2386,18,24,0,0,3,21616646.9655026,113596243.127181,1263.536865234,0,32,0,0,11000,45,3,1,6,7
RAWX,2025-09-28T15:18:30+00:00,0,2386,18,24,0,0,4,22894032.0781587,120308949.914278,-100.604484558,2,3,0,0,11000,44,4,1,6,7
RAWX,2025-09-28T15:18:30+00:00,0,2386,18,24,0,0,5,22516237.8702786,118323626.611659,-2073.94140625,2,5,0,0,11000,43,4,1,6,7
RAWX,2025-09-28T15:18:30+00:00,0,2386,18,24,0,0,6,23615921.347483,122974297.930112,1129.366455078,3,20,0,0,11000,51,3,1,4,15
RAWX,2025-09-28T15:18:30+00:00,0,2386,18,24,0,0,7,23758664.1671935,123717600.485463,833.700744629,3,29,0,0,11000,45,3,1,6,7
RAWX,2025-09-28T15:18:30+00:00,0,2386,18,24,0,0,8,21957601.146062,114338988.896639,-613.518798828,3,32,0,0,11000,52,3,1,5,7
RAWX,2025-09-28T15:18:30+00:00,0,2386,18,24,0,0,9,19836543.6378722,105851596.643559,-1036.157226562,6,2,0,3,11000,51,5,1,4,7
RAWX,2025-09-28T15:18:30+00:00,0,2386,18,24,0,0,10,21050381.2156325,112368365.825474,2568.289794922,6,18,0,4,11000,50,5,1,5,15
RAWX,2025-09-28T15:18:30+00:00,0,2386,18,24,0,0,11,22281915.3273077,119067827.490017,-1111.548583984,6,11,0,7,4660,30,8,6,9,7
RAWX,2025-09-28T15:18:30+00:00,0,2386,18,24,0,0,12,21766533.7589605,116354503.742911,-2407.260009766,6,1,0,8,4000,29,8,5,7,15
RAWX,2025-09-28T15:18:30+00:00,0,2386,18,24,0,0,13,20875599.8720953,111631192.632603,-4272.181640625,6,24,0,9,11000,30,7,7,9,15
RAWX,2025-09-28T15:18:30+00:00,0,2386,18,24,0,0,14,18963270.3000602,101476285.820801,-880.473083496,6,17,0,11,11000,44,5,1,6,7
RAWX,2025-09-28T15:18:30+00:00,0,2386,18,24,0,0,15,23783859.8308312,124985028.891035,1471.298095703,2,15,0,0,11000,45,3,1,5,7
RAWX,2025-09-28T15:18:30+00:00,0,2386,18,24,0,0,16,21318025.9808946,114117060.107239,1159.599853516,6,3,0,12,11000,49,5,1,5,7
RAWX,2025-09-28T15:18:30+00:00,0,2386,18,24,0,0,17,22894034.9158433,92184791.259144,-76.951171875,2,3,6,0,11000,43,3,1,6,7
RAWX,2025-09-28T15:18:30+00:00,0,2386,18,24,0,0,18,22516244.5669043,90663586.2675945,-1589.133300781,2,5,6,0,11000,44,3,1,6,7
RAWX,2025-09-28T15:18:30+00:00,0,2386,18,24,0,0,19,23783867.1275351,95767777.0851416,1127.162353516,2,15,6,0,11000,50,3,1,4,7
RAWX,2025-09-28T15:18:30+00:00,0,2386,18,24,0,0,20,21708435.2581629,88892412.9955357,1425.181152344,0,10,3,0,11000,44,4,1,6,7
RAWX,2025-09-28T15:18:30+00:00,0,2386,18,24,0,0,21,19829942.4832318,81200297.1155972,154.998779297,0,23,3,0,11000,42,4,2,6,15
RAWX,2025-09-28T15:18:30+00:00,0,2386,18,24,0,0,22,23894234.2763474,97842893.9015949,-990.400146484,0,27,3,0,11000,40,4,2,7,15
RAWX,2025-09-28T15:18:30+00:00,0,2386,18,24,0,0,23,21616650.8591348,88516575.5734228,984.301025391,0,32,3,0,11000,41,4,2,7,7
RAWX,2025-09-28T15:18:30+00:00,0,2386,18,24,0,0,0,21707738.8030113,114074932.040022,1828.444702148,0,10,0,0,13000,52,3,1,4,7
RAWX,2025-09-28T15:18:30+00:00,0,2386,18,24,0,0,1,19829867.2406849,104206650.096083,198.077392578,0,23,0,0,13000,43,3,2,6,15
RAWX,2025-09-28T15:18:30+00:00,0,2386,18,24,0,0,2,23894711.848811,125567556.679852,-1272.589111328,0,27,0,0,13000,41,4,2,6,7
RAWX,2025-09-28T15:18:30+00:00,0,2386,18,24,0,0,3,21616166.4018622,113593717.117763,1262.249755859,0,32,0,0,13000,45,3,1,6,7
