rcvTOW,ZHD_m,ZWD_m,ZTD_m,ZTD_sigma_m,n_sats,sats_used,PWV_mm
225228.992000,1.930230,21.203221,23.133451,3.246352,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",98.062056
225229.992000,1.930230,21.182384,23.112614,3.238251,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",97.965686
225230.992000,1.930230,21.154487,23.084717,3.242293,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",97.836667
225231.992000,1.930230,21.145439,23.075669,3.245506,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",97.794823
225232.992000,1.930230,21.113535,23.043765,3.235221,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",97.647271
225233.992000,1.930230,21.218545,23.148775,3.249521,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",98.132926
225234.992000,1.930230,21.164138,23.094368,3.257565,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",97.881300
225235.992000,1.930230,21.189058,23.119288,3.255731,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",97.996555
225236.992000,1.930230,21.214907,23.145137,3.274506,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",98.116102
225237.992000,1.930230,21.183161,23.113391,3.259277,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",97.969282
225238.992000,1.930230,21.218015,23.148245,3.272244,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",98.130477
225239.992000,1.930230,21.223283,23.153513,3.281673,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",98.154840
225240.992000,1.930230,21.180449,23.110678,3.273932,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",97.956736
225241.992000,1.930230,21.079064,23.009294,3.271143,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",97.487846
225242.992000,1.930230,21.095979,23.026209,3.257996,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",97.566074
225243.992000,1.930230,21.112591,23.042821,3.271280,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",97.642905
225244.992000,1.930230,21.211966,23.142196,3.264881,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",98.102498
225245.992000,1.930230,21.159870,23.090100,3.266957,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",97.861562
225246.992000,1.930230,21.131729,23.061959,3.258500,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",97.731415
225247.992000,1.930230,21.237055,23.167285,3.277150,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",98.218535
225248.992000,1.930230,21.231398,23.161628,3.274295,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",98.192370
225249.992000,1.930230,21.252445,23.182675,3.281188,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",98.289709
225250.992000,1.930230,21.201276,23.131506,3.270530,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",98.053059
