rcvTOW,ZHD_m,ZWD_m,ZTD_m,PWV_mm,clk_residual_m,n_sats,rms_m
225777.992,1.93022954639882,-6.995921822929519,-5.065692276530699,-11.775347863456718,47.52010786663461,15,5.524340822363905
225778.992,1.93022954639882,-6.8649372063570375,-4.934707659958217,-11.554878072063794,47.45659909977054,15,5.531418130121003
225779.992,1.93022954639882,-6.840384748709269,-4.910155202310449,-11.513552034263075,47.22658073740928,15,5.497293121114698
225780.992,1.93022954639882,-6.807378969374341,-4.877149422975521,-11.457997592259531,47.4556548827099,15,5.551570034112684
225781.992,1.93022954639882,-6.611999657950063,-4.681770111551243,-11.129140378646454,47.05730745971106,15,5.545824772498672
225782.992,1.93022954639882,-6.688682504175464,-4.758452957776644,-11.258210887482692,47.094065827131814,15,5.5916789383656855
225783.992,1.93022954639882,-6.6802241623663905,-4.74999461596757,-11.243974033545385,47.26215353845471,15,5.5884851182348125
225784.992,1.93022954639882,-6.561437235777622,-4.631207689378802,-11.044035066584785,47.05349910996503,15,5.635509507551191
225785.992,1.93022954639882,-6.41184637384824,-4.48161682744942,-10.79224774234119,46.584991301890284,15,5.627388163122348
225786.992,1.93022954639882,-6.463644456827594,-4.533414910428774,-10.879432885511742,46.8416925791789,15,5.688920453206616
225787.992,1.93022954639882,-6.249962778052871,-4.319733231654051,-10.519769618353314,46.46678063450604,15,5.657035981464763
225788.992,1.93022954639882,-6.2751150652918914,-4.344885518893071,-10.562105273224457,46.32740736583132,15,5.677623598365067
225789.992,1.93022954639882,-6.0580904953928885,-4.127860948994068,-10.196815341438496,46.023430033115034,15,5.726990408094547
225790.992,1.93022954639882,-4.950686349576009,-3.020456803177189,-8.33286240250079,44.513145177193756,15,6.412510630983788
225791.992,1.93022954639882,-5.723841817848261,-3.793612271449441,-9.634216937595811,45.61676810024869,15,5.845059658520478
225792.992,1.93022954639882,-4.795276587858306,-2.865047041459486,-8.071280862294763,44.26723611854976,15,6.431853920401576
225793.992,1.93022954639882,-5.187595150768203,-3.257365604369383,-8.7316209387682,44.56400790569309,15,6.144704638168873
225794.992,1.93022954639882,-5.4797287826128365,-3.5494992362140163,-9.22333242792619,45.04040659786584,15,6.001659628190641
225795.992,1.93022954639882,-5.07192692376464,-3.14169737736582,-8.53693128325317,44.594233208509074,15,6.362082803728947
225796.992,1.93022954639882,-5.330775792257508,-3.4005462458586875,-8.972618751997542,45.07623614698136,15,6.098440987022412
225797.992,1.93022954639882,-5.493439929675279,-3.5632103832764592,-9.246410662696926,45.09858089084979,15,6.019106214980575
225798.992,1.93022954639882,-5.687822894242201,-3.7575933478433807,-9.573590852018567,45.48444799256866,15,6.0014556975500035
225799.992,1.93022954639882,-5.775713710664648,-3.8454841642658275,-9.721526315503228,45.50166732951882,15,6.073903923876231
225800.992,1.93022954639882,-5.967725592949894,-4.037496046551074,-10.044715562760867,45.81381805837604,15,6.036644126105006
225801.992,1.93022954639882,-6.115980319031046,-4.185750772632226,-10.294253939002473,46.20306028834668,15,6.157789365553702
225802.992,1.93022954639882,-6.079063634452516,-4.148834088053696,-10.232116766249494,46.256811239246645,15,6.180989281531752
225803.992,1.93022954639882,-5.9671138120035465,-4.036884265604726,-10.04368582949028,45.97407210878347,15,6.110795707316388
225804.992,1.93022954639882,-6.11445351073173,-4.18422396433291,-10.291684056247876,46.225361813337464,15,6.075202268252391
225805.992,1.93022954639882,-6.115534714786825,-4.1853051683880045,-10.293503909897238,46.23184258464253,15,6.059184806130553
225806.992,1.93022954639882,-6.097739166140781,-4.167509619741961,-10.263550919993689,46.10380162785385,15,5.9707306663202475
